name,phone,company,date,investsmentId,investmentType,investment
Hanna Toffetto,+252 (676) 138-4687,Livepath,19.7.2019,85,G,$285.20
Urbanus Eble,+57 (130) 336-4134,Zoombeat,3.10.2020,72,B,$842.72
"Lawrence, Ramon",+66 (557) 865-3845,Jayo ,29.10.2020,25,D,$592.59
Thia Malkie,+46 (564) 145-8997,Devbug,18.2.2020,93,E,$490.95
hanna toffetto,+252 (676) 138-4687,Livepath,3.4.2020,33,E,$239.00
"grevile, jase",+81 (865) 199-4601,Mydo,6.1.2021,73,F,$230.35
Aaron Plews,+55 (240) 137-2969,Jayo,16.8.2019,36,A, $ 750.40
Giuseppe Taunton.,+60 (962) 580-0623,Devbug,11.1.2019,54,B,$802.77
Hanna Toffetto,+252 (676) 138-4687,Livepath,7.10.2020,45,B,$ 224.95
"Brito, Gaven",+51 (870) 799-1508,Feednation,28.1.2020,87,G,$127.55
Benedikta Reuble,+46 (111) 641-8385,Zoombeat,28.4.2019,32,C,$700.67
"Camelin, Roberta",+62 (192) 870-2062,Fivebridge,28.10.2020,67,A,$340.02
"Dawdary, Gae",+62 (715) 824-2951,Topdrive,13.3.2021,10,B,$407.85
GAE DAWDARY,+62 (715) 824-2951,Topdrive,3.8.2020,51,D,$229.27
Urbanus Eble,+57 (130) 336-4134,Zoombeat,29.10.2020,52,B,$279.79
"Sperrett, Kerr",+55 (375) 321-7647,yambee ,16.3.2021,29,C,$841.16
Hersch Szymanowicz,+237 (561) 702-4118,Fivebridge,4.9.2019,64,E,$312.27
Kerr Sperrett,+55 (375) 321-7647,,27.8.2020,9,E,$729.43
GAE DAWDARY,+62 (715) 824-2951,Topdrive,3.8.2020,51,D,$229.27
Hanna Toffetto,+252 (676) 138-4687,Livepath,19.7.2019,85,G,$285.20
"Plews, Aaron",+55 (240) 137-2969,Jayo,21.5.2020,50,E,$ 242.55
"Orman, Jyoti",+52 (520) 447-3845,,29.4.2020,13,F,$724.06
Urbanus Eble,+57 (130) 336-4134,Zoombeat,31.3.2021,92,F,$762.20
Daryl Kehir,+63 (872) 863-1697,zoombeat,16.10.2019,68,A,$106.58
Gaven Brito,+51 (870) 799-1508,feednation,8.7.2020,48,F, $800.74
"Meaking, Normand",+86 (552) 935-1873,Jayo,29.5.2019,81,F,$114.93
"Dunseith, Corine",+63 (797) 344-2571,Livepath,7.4.2019,30,E,$477.30
Ibbie Whitehouse,+98 (495) 896-6408,Yambee,16.3.2019,41,A,$744.18
ERICK LEGGAN,+98 (396) 812-9975,Yambee,12.4.2019,74,C,$584.58
Hussein Chessell,+62 (690) 516-9418,Mydo,18.12.2019,86,A,$377.65
"Lawrence, Ramon",+66 (557) 865-3845,,29.10.2020,25,D,$592.59
Maressa Pavlishchev,+62 (350) 377-8621,devbug ,26.4.2020,15,A,$197.18
Ramon Lawrence,+66 (557) 865-3845,Jayo,8.10.2019,38,B,$667.45
Thia Malkie,+46 (564) 145-8997,DEVBUG,23.3.2019,16,A,$632.23
Ibbie Whitehouse,+98 (495) 896-6408,Yambee,1.8.2020,22,F,$ 638.57
Hanna Toffetto,+252 (676) 138-4687,Livepath  ,31.7.2020,82,D,$513.30
"Lauthian, Henrietta",+49 (564) 306-9564,Devbug,9.3.2019,58,G,$892.30
Thia Malkie,+46 (564) 145-8997,Devbug,12.1.2019,11,D, $364.54
"Grevile, Jase",+81 (865) 199-4601,Mydo,19.6.2021,12,E,$367.25
NORMAND MEAKING,+86 (552) 935-1873,Jayo,28.11.2019,75,E, $ 830.52
Maressa Pavlishchev,+62 (350) 377-8621,Devbug,25.1.2021,5,C,$718.75
Neils Capelen,+86 (361) 914-8734,Jayo,4.1.2021,76,C,$ 368.03
Normand Meaking,+86 (552) 935-1873,Jayo,5.5.2019,7,A,$434.23
Gae Dawdary,+62 (715) 824-2951,Topdrive,8.6.2021,27,G,$815.55
"Szymanowicz, Hersch",+237 (561) 702-4118,FIVEBRIDGE,29.8.2020,24,F,$593.49
"Shrubb, Elfreda",+62 (295) 637-4199,Yambee,1.10.2019,83,A,$151.56
Urbanus Eble,+57 (130) 336-4134,Zoombeat  ,25.6.2021,79,A,$625.56
Elfreda Shrubb,+62 (295) 637-4199,Yambee,16.3.2021,84,C,$750.99
Normand Meaking,+86 (552) 935-1873,Jayo ,19.10.2020,60,F,$604.85
"Dawdary, Gae",+62 (715) 824-2951,Topdrive ,14.3.2020,20,E,$541.86
ELEANOR GALLAMORE,+86 (366) 702-2334,mydo ,17.4.2019,95,C,$ 738.16
DORTHEA LINSEY,+63 (484) 875-0848,Zoombeat,22.1.2019,14,E, $484.33
Eleanor Gallamore,+86 (366) 702-2334, Mydo,5.1.2020,57,F,$578.64
Giuseppe Taunton.,+60 (962) 580-0623,Devbug,23.9.2019,34,C,$311.53
"Whitehouse, Ibbie",+98 (495) 896-6408,Yambee,25.6.2020,37,F,$466.80
"Lawrence, Ramon",+66 (557) 865-3845,Jayo,2.1.2019,63,C,$334.20
Elfreda Shrubb,+62 (295) 637-4199,Yambee,21.4.2021,2,A,$678.92
Eleanor Gallamore,+86 (366) 702-2334, Mydo,5.1.2020,57,F,$578.64
"chessell, hussein",+62 (690) 516-9418,Mydo,10.12.2019,99,A,$888.33
Normand Meaking,NULL,Jayo ,19.10.2020,60,F,$604.85
"Lawrence, Ramon",+66 (557) 865-3845,Jayo ,29.10.2020,25,D,$592.59
Normand Meaking,+86 (552) 935-1873,Jayo,26.1.2020,94,C, $363.12
MISSY FOLOMKIN,+33 (962) 798-0776,Feednation,8.1.2021,69,F,$470.53
"Camelin, Roberta",+62 (192) 870-2062,Fivebridge,28.10.2020,67,A,$340.02
"FOLOMKIN, MISSY",+33 (962) 798-0776,Feednation,30.7.2020,23,C,$264.84
Henrietta Lauthian,+49 (564) 306-9564,Devbug ,29.2.2020,35,C,$526.46
"Lauthian, Henrietta",+49 (564) 306-9564,Devbug,9.3.2019,58,G,$892.30
Erick Leggan,+98 (396) 812-9975,Yambee,2.10.2019,96,G,$223.22
Hussein Chessell,+62 (690) 516-9418,Mydo,14.10.2020,100,E,$342.13
Thia Malkie,+46 (564) 145-8997,Devbug,12.4.2021,90,G,$ 767.64
"Chessell, Hussein",+62 (690) 516-9418,Mydo,26.5.2019,28,F,$ 191.29
Urbanus Eble,+57 (130) 336-4134,,3.10.2020,72,B,$842.72
"Meaking, Normand",+86 (552) 935-1873,Jayo,29.5.2019,81,F,$114.93
Dorthea Linsey,+63 (484) 875-0848,Zoombeat,10.6.2020,18,F,$557.20
Lek Leades,+1 (351) 584-7386,Yambee,6.12.2019,55,C, $ 109.01
"Brito, Gaven",NULL,Feednation    ,4.8.2019,56,A,$215.03
"Dunseith, Corine",+63 (797) 344-2571,Livepath,9.4.2019,77,D,$322.76
"Camelin, Roberta",+62 (192) 870-2062,Fivebridge,22.1.2020,43,E,$603.06
"Gallamore, Eleanor",+86 (366) 702-2334,MYDO,1.9.2020,40,A, $110.21
